* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LE935            MULT                          .9300004         8.7969178       286.5737754        -9.6043689      -299.6046440          .2329494          .2494870 -3.67293638963E-5 4.34072688165E-10 3.821268789524E-8          .2329494          .2494870
  QC1LPE939           MULT                          .9400004         8.9900653       292.5971355        -9.7102214      -302.7319068          .2331283          .2494924          .0000000 -7.14703250327E-4 -1.53355513485E-4          .2331283          .2494924
  QC1LPE941           MULT                          .9400004         8.9900653       292.5971359        -9.7166476      -302.5227565          .2331283          .2494924          .0000000 -6.85010912419E-4 3.147147748158E-5          .2331283          .2494924
  QC1LE945            MULT                          .9400004         8.9900653       292.5971357        -9.7228055      -302.3223356          .2331283          .2494924 -3.55766723373E-5 4.03724367633E-10 3.874236555719E-8          .2331283          .2494924
  QC1LPE949           MULT                          .9500004         9.1855844       298.6747603        -9.8289309      -305.4411671          .2333035          .2494978          .0000000 -6.85010912419E-4 3.147147748158E-5          .2333035          .2494978
  QC1LPE951           MULT                          .9500004         9.1855844       298.6747602        -9.8352228      -305.2365826          .2333035          .2494978          .0000000 -6.56814503439E-4 2.001461770374E-4          .2333035          .2494978
  QC1LE955            MULT                          .9500004         9.1855843       298.6747599        -9.8412551      -305.0404355          .2333035          .2494978 -3.44522411069E-5 3.38269419945E-10 3.943912368113E-8          .2333035          .2494978
  QC1LPE959           MULT                          .9600004         9.3834752       304.8066578        -9.9476455      -308.1511288          .2334749          .2495031          .0000000 -6.56814503439E-4 2.001461770374E-4          .2334749          .2495031
  QC1LPE961           MULT                          .9600004         9.3834752       304.8066575        -9.9538078      -307.9509537          .2334749          .2495031          .0000000 -6.29997241250E-4 9.146247322251E-5          .2334749          .2495031
  QC1LE965            MULT                          .9600004         9.3834752       304.8066572        -9.9597189      -307.7589407          .2334749          .2495031 -3.33521676365E-5 2.18653037406E-10 4.034210998629E-8          .2334749          .2495031
  QC1LPE969           MULT                          .9700005         9.5837381       310.9928382       -10.0663671      -310.8617902          .2336427          .2495083          .0000000 -6.29997241250E-4 9.146247322251E-5          .2336427          .2495083
  QC1LPE971           MULT                          .9700005         9.5837381       310.9928380       -10.0724043      -310.6658797          .2336427          .2495083          .0000000 -6.04432564788E-4 -2.03211824320E-4          .2336427          .2495083
  QC1LE975            MULT                          .9700005         9.5837381       310.9928380       -10.0781975      -310.4778891          .2336427          .2495083 -3.22708063657E-5 1.45937200036E-11 4.156878620018E-8          .2336427          .2495083
  QC1LPE979           MULT                          .9800005         9.7863731       317.2333150       -10.1850973      -313.5731898          .2338071          .2495133          .0000000 -6.04432564788E-4 -2.03211824320E-4          .2338071          .2495133
  QC1LPE981           MULT                          .9800005         9.7863732       317.2333152       -10.1910130      -313.3814274          .2338071          .2495133          .0000000 -5.79975058413E-4 -4.19856005792E-4          .2338071          .2495133
  QC1LE985            MULT                          .9800005         9.7863732       317.2333157       -10.1966905      -313.1973894          .2338071          .2495133 -3.12005312648E-5 -3.2279558029E-10 4.316712522092E-8          .2338071          .2495133
  QC1LPE989           MULT                          .9900005         9.9913805       323.5281054       -10.3038359      -316.2854325          .2339680          .2495183          .0000000 -5.79975058413E-4 -4.19856005792E-4          .2339680          .2495183
